 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1944   110.0   139.8    85.2    12.4    37.7    52.8     0.8     0.8    89.2    87.3    85.0    31.6   135.3    54.4   261.5   231.2   732.6
 1945    86.2   113.4   174.8    33.0    36.7     2.6     2.0     2.8     3.0    33.4    45.2    69.1   244.5     7.4    81.6   292.7   602.1
 1946   135.1    88.6   116.2    41.7    54.5     6.0     6.0     0.3    15.3   135.6    96.0    85.9   212.3    12.3   246.9   294.0   781.0
 1947    75.0   133.1   104.8    69.0    15.1    21.1     9.2     2.7    71.8   101.2   105.5   142.8   188.8    33.0   278.6   360.0   851.3
 1948   127.8    89.4   203.3    70.1    32.1     0.8     3.5     2.0     8.5    69.1    36.8    47.5   305.5     6.3   114.5   268.0   690.9
 1949   130.5    90.0   100.7    51.0    23.7     6.9     7.8     4.5    30.2    69.8   108.5   133.0   175.5    19.2   208.5   364.2   756.6
 1950   106.3   124.9   172.2    94.2    61.4     8.7    33.1    74.9    19.7    49.2    57.6   157.9   327.7   116.7   126.5   385.0   960.0
 1951   124.7   102.4    77.9    65.9    28.3    12.0     4.9    20.8    35.1   134.7    31.8    71.4   172.1    37.7   201.5   359.1   709.8
 1952   146.9   140.8    80.4    36.1     9.8     9.3    47.3    20.8    36.1    49.1    89.8   115.8   126.4    77.5   175.1   362.5   782.5
 1953    74.8   171.8    75.0    77.1    21.9     5.6     2.1    20.1    25.4   100.8    91.1   118.7   174.1    27.7   217.4   334.8   784.5
 1954   105.4   110.7   118.3    33.0    45.9    13.8     3.3     0.6    25.6    39.2    86.5    98.4   197.2    17.7   151.3   499.7   680.6
 1955   216.1   185.2    72.9    65.2    34.0    13.0     8.0     2.8     7.8    69.8   117.0   157.9   172.2    23.7   194.6   417.9   949.8
 1956    74.8   185.2   146.2    38.6    52.7     3.7     4.6     1.3    27.3    97.7   119.7   242.5   237.5     9.6   244.6   483.3   994.2
 1957   144.2    96.7   119.0    58.1    13.2    22.1    30.9    49.9   161.2   185.4   100.9   116.3   190.2   102.8   447.6   372.2  1097.8
 1958   177.2    78.7    86.0    86.9    54.1     2.9     2.1     0.1    50.7    53.5   129.7   142.7   227.0     5.1   234.0   320.1   864.7
 1959    87.7    89.7    65.1   103.6    82.8     5.8    53.4     3.8     7.6   101.5   101.2   174.3   251.5    63.0   210.4   410.0   876.5
 1960   100.4   135.3   124.5    71.5    23.7     8.9    13.9    36.9    42.2    94.5   114.8   134.4   219.7    59.6   251.5   313.5   900.8
 1961   122.8    56.2   121.1    93.1    59.1    39.7    13.3    13.5    27.4     9.3   156.6   120.7   273.3    66.4   193.3   396.8   832.8
 1962    93.2   182.9    87.7    66.6    10.9     2.5     1.0     9.5    19.3    43.8   129.3    69.2   165.2    13.0   192.3   357.3   715.8
 1963   201.8    86.3   134.1    90.0    25.8    24.0    32.5     5.0     8.5    76.1   142.4   105.8   250.0    61.5   227.0   311.4   932.5
 1964   131.5    74.1   163.5    53.2    12.5    40.2     1.9    16.5    36.0   173.8    55.4   120.3   229.2    58.6   265.2   279.2   879.0
 1965   111.3    47.5    40.2    80.4     6.5    35.0    23.9    29.6    22.7    44.0    92.8    47.7   127.2    88.5   159.4   352.4   581.6
 1966   212.6    92.1    41.0    26.8    19.8    12.6     1.0    14.1    13.2    51.6    74.1   123.6    87.6    27.8   138.9   491.3   682.6
 1967   243.5   124.3   115.8    88.3    50.3     9.5     6.5    10.9    10.1    73.8    79.9    90.5   254.4    26.9   163.8   191.6   903.3
 1968    52.1    48.9   111.6    61.9    58.3     4.0    15.3    18.2    19.6    45.9    56.9   109.9   231.8    37.5   122.5   260.4   602.6
 1969    60.0    90.5   143.8    63.0    62.9     5.4     4.5    14.6    16.5   117.7    46.5   116.3   269.7    24.6   180.7   279.1   741.9
 1970    97.0    65.8    33.8    17.6    12.4    21.7    17.6    43.9    78.5    79.2    60.6   144.4    63.9    83.2   218.3   393.3   672.6
 1971   143.7   105.2    90.3    57.8    58.4     1.5    20.2     9.7     6.3    59.8    68.3    97.6   206.6    31.4   134.4   409.6   718.9
 1972   152.8   159.2   142.3    39.7    25.7    11.2     1.9     8.8    19.4    70.6   101.5    25.5   207.7    22.0   191.4   255.0   758.6
 1973    72.3   157.2    63.2    51.1     7.8     0.8     9.7    69.7    42.9    28.7    92.0   119.8   122.0    80.2   163.6   456.0   715.2
 1974   188.4   147.8   115.5    46.6    18.5    15.3     3.7    28.1    14.6    39.6   192.2   113.1   180.6    47.1   246.5   412.8   923.4
 1975   148.4   151.3   104.6    38.4    12.6     8.4    18.7     8.2   106.1    58.0   165.8   162.5   155.6    35.3   329.9   512.8   983.1
 1976   187.2   163.0   205.2    59.8    46.6    15.1     0.5     3.5    81.1   154.2    97.3   104.2   311.7    19.1   332.7   368.4  1117.9
 1977   171.1    93.2   129.9    47.5    13.5     4.6     0.1     5.2    82.0   123.7    61.1   108.1   190.9     9.8   266.7   365.8   839.8
 1978   180.3    77.4   136.2    95.6     2.4     6.4     2.8    22.7    64.0    66.2    44.9   181.2   234.2    31.9   175.1   382.1   880.1
 1979    72.9   128.0    58.5    29.7    32.3     4.2    56.4    79.7    34.1    82.1    94.1   101.8   120.5   140.2   210.3   297.6   773.7
 1980    96.4    99.4    58.2    20.1     9.1     2.1     0.5     4.6   100.7    18.8   111.0    87.8    87.3     7.2   230.5   454.6   608.6
 1981   208.2   158.6    82.6    48.2    20.2    20.9     0.7    65.7    15.4    43.7   100.4   112.5   151.1    87.3   159.6   249.3   877.2
 1982    81.0    55.8    72.6   107.1     6.5    14.2    18.5     2.3    31.2   123.1    82.6    45.9   186.1    34.9   236.9   178.7   640.7
 1983    77.5    55.3    71.2    34.9    26.7    21.1    36.3     2.9    28.8    91.7   134.5   136.6   132.8    60.3   255.0   307.2   717.6
 1984   116.0    54.7    84.7    32.4    42.7     6.6     8.9    50.8    11.5    80.3    79.0    61.6   159.8    66.3   170.8   312.7   629.2
 1985   102.5   148.6    47.2    26.3     0.8     7.1     0.5     0.2     5.1   150.0   104.0   165.0    74.2     7.9   259.0   359.5   757.2
 1986   104.3    90.2    72.0    44.0     0.0    41.6     0.4    53.1    31.5   154.7   126.0    65.6   116.0    95.2   312.2   207.3   783.5
 1987    52.2    89.5    96.2    62.4     3.7     5.1     9.5    71.7   201.9    53.6   113.7   109.0   162.3    86.4   369.2   402.8   868.4
 1988    99.2   194.6   176.6    73.5    28.3    22.5    16.3    10.7    60.3   107.7    87.5   145.6   278.4    49.5   255.6   434.1  1022.9
 1989   109.2   179.3    74.9    60.4    45.6    33.2     5.3     6.4     7.3    63.7   155.0    77.4   180.8    44.9   226.0   255.2   817.5
 1990    94.9    82.9   133.2    95.6     7.5    22.9    12.5    29.6     4.8    32.7    20.1   124.3   236.4    65.0    57.5   482.0   661.0
 1991   221.3   136.4   114.8     3.1     2.0    10.6     1.0     4.1    64.4   157.8    65.3   117.9   119.9    15.7   287.5   231.2   898.7
 1992    53.9    59.4    65.2    18.5     0.7     0.6     0.5    47.8    15.6    77.0   117.2    67.5    84.5    48.9   209.8   254.0   523.9
